model,score,ATE
LR,games_score_winner,-0.0010393128579076955
LR,games_score_loser,-0.0003673928412954573
LR,pts_score_winner,0.00018639338314276337
LR,pts_score_loser,0.0014464148338456505
LR_no_std,games_score_winner,-0.0010393128579076773
LR_no_std,games_score_loser,-0.00036739284129547694
LR_no_std,pts_score_winner,0.00018639338314259895
LR_no_std,pts_score_loser,0.001446414833845834
Ridge_no_std,games_score_winner,-0.0010391368077202578
Ridge_no_std,games_score_loser,-0.00036690115596421885
Ridge_no_std,pts_score_winner,0.0001861927856707814
Ridge_no_std,pts_score_loser,0.0014461214134859673
RF,games_score_winner,5.697138266479645e-06
RF,games_score_loser,2.6002886999510512e-05
RF,pts_score_winner,2.1029355809665868e-05
RF,pts_score_loser,-2.4422577275486417e-05
Ridge,games_score_winner,-0.0010389603095301877
Ridge,games_score_loser,-0.00036730148988130674
Ridge,pts_score_winner,0.00018714101354583618
Ridge,pts_score_loser,0.0014455093103379242
