tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,1,201325,1,,Samantha Stosur,R,172,AUS,27.75906913,6,5585,201412,,,Anastasia Yakimova,R,165,BLR,25.16906229,62,971,6-2 6-3,3,R32,,0,1,58,37,27,13,,5,6,1,6,51,29,16,7,,2,6
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,3,201421,,,Ana Ivanovic,R,183,SRB,24.15605749,22,2260,201481,,,Tamira Paszek,R,165,AUT,21.07323751,42,1233,6-3 6-3,3,R32,,5,3,48,31,20,8,,2,5,1,5,66,39,21,8,,3,9
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,4,200079,5,,Kim Clijsters,R,,BEL,28.56947296,13,3161,201594,,,Simona Halep,R,168,ROU,20.26557153,47,1161,6-1 6-4,3,R32,,0,3,48,31,24,10,,1,2,3,3,54,32,17,9,,7,11
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,5,200033,4,,Serena Williams,R,175,USA,30.26694045,12,3180,201541,,,Chanelle Scheepers,R,,RSA,27.80561259,38,1376,6-2 6-3,3,R32,,7,3,58,34,24,14,,1,2,1,8,49,26,17,7,,0,4
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,6,201587,,,Bojana Jovanovski,R,175,SRB,20.0054757,76,870,201348,,WC,Casey Dellacqua,L,,AUS,26.88843258,134,498,6-4 6-2,3,R32,,2,3,64,37,24,13,,3,5,0,2,58,36,18,7,,2,7
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,7,201447,,Q,Vania King,R,165,USA,22.83367556,75,872,201349,,,Melinda Czink,L,178,HUN,29.19644079,143,460,6-3 6-4,3,R32,,2,0,63,41,28,16,,4,5,4,6,55,30,20,11,,3,6
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,8,201290,,,Daniela Hantuchova,R,181,SVK,28.6954141,24,2095,201495,8,,Dominika Cibulkova,R,161,SVK,22.65845311,18,2755,3-6 6-4 6-3,3,R32,,10,8,93,51,31,18,,6,12,1,6,79,41,27,14,,3,10
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,9,201347,6,,Jelena Jankovic,R,177,SRB,26.84188912,14,3115,201521,,,Carla Suarez Navarro,R,162,ESP,23.32922656,56,1107,6-4 6-2,3,R32,,3,5,55,31,22,13,,7,9,1,1,55,33,21,6,,5,10
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,11,201448,,,Galina Voskoboeva,R,183,KAZ,27.03901437,58,1057,201371,,Q,Vera Dushevina,R,180,RUS,25.24024641,86,798,6-0 6-0,3,R32,,5,0,44,26,20,9,,5,5,0,3,42,24,9,4,,4,10
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,12,201212,3,,Francesca Schiavone,R,166,ITA,31.52635181,11,3900,201584,,,Ksenia Pervak,L,170,KAZ,20.60232717,39,1365,4-4 RET,3,R32,,0,1,29,13,9,9,,2,3,0,3,28,19,12,4,,1,2
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,13,201499,7,,Anastasia Pavlyuchenkova,R,177,RUS,20.50102669,16,2865,201555,,,Polona Hercog,R,182,SLO,20.95003422,36,1490,6-1 4-1 RET,3,R32,,4,3,38,21,16,9,,1,2,1,1,36,13,7,4,,3,8
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,14,201466,,,Kaia Kanepi,R,181,EST,26.56262834,34,1580,201668,,Q,Alexandra Panova,U,,RUS,22.83641342,121,544,7-5 3-6 6-2,3,R32,,6,8,87,43,34,22,,7,9,2,3,96,66,46,12,,3,7
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,15,201366,,,Barbora Zahlavova Strycova,R,164,CZE,25.76591376,44,1225,201542,,WC,Olivia Rogowska,R,,AUS,20.57221081,167,383,6-2 4-6 6-4,3,R32,,4,3,92,56,33,13,,5,12,0,11,91,58,30,11,,2,11
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,16,201492,2,,Andrea Petkovic,R,180,GER,24.31485284,10,4580,201424,,,Shahar Peer,R,170,ISR,24.67351129,37,1460,7-6(2) 1-6 6-3,3,R32,,1,1,98,67,35,14,,7,15,4,5,85,60,30,9,,4,11
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,18,200079,5,,Kim Clijsters,R,,BEL,28.56947296,13,3161,201421,,,Ana Ivanovic,R,183,SRB,24.15605749,22,2260,6-1 1-6 6-3,3,R16,,2,4,65,43,30,7,,4,8,5,3,69,43,26,9,,3,9
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,19,200033,4,,Serena Williams,R,175,USA,30.26694045,12,3180,201587,,,Bojana Jovanovski,R,175,SRB,20.0054757,76,870,6-2 6-4,3,R16,,6,3,59,30,19,15,,2,5,3,7,59,35,17,9,,1,7
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,20,201290,,,Daniela Hantuchova,R,181,SVK,28.6954141,24,2095,201447,,Q,Vania King,R,165,USA,22.83367556,75,872,4-6 6-2 6-3,3,R16,,5,3,90,53,39,17,,6,9,2,4,76,50,33,9,,3,8
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,21,201347,6,,Jelena Jankovic,R,177,SRB,26.84188912,14,3115,201690,,Q,Nina Bratchikova,R,,RUS,26.51334702,154,422,6-3 6-2,3,R16,,5,3,61,35,21,16,,6,8,1,3,48,26,13,8,,2,7
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,22,201212,3,,Francesca Schiavone,R,166,ITA,31.52635181,11,3900,201448,,,Galina Voskoboeva,R,183,KAZ,27.03901437,58,1057,6-4 6-4,3,R16,,6,3,66,36,26,19,,8,9,1,3,58,29,20,14,,3,6
2012-W-PR-AUS-01A-2012,Brisbane International,Hard,32,P,20120102,23,201466,,,Kaia Kanepi,R,181,EST,26.56262834,34,1580,201499,7,,Anastasia Pavlyuchenkova,R,177,RUS,20.50102669,16,2865,6-0 6-3,3,R16,,3,1,36,26,25,7,,0,0,2,7,60,30,20,9,,6,10
